Date;Hasdrubal;El Borma;Adam;Cherouq;Ashtart;Oued Zar;Elhajeb Guebiba;Bir ben Tar Tar;Miskar;M.L.D;Didon;Baraka;Cercina;Anaguid Est;Maamoura;Chouech Essaida;Sidi Litayem;Sidi el kilani;El Franig/Baguel/Tarfa;Dorra;Gremda/El Ain;Ezzaouia;Rhemoura;Jebel Grouz;D.S.T;Sabria;Chergui;Oudna;Robbana;El Bibane;Echouech;Sanhar;Jinene;Mozrane;Beni khalled;Gherib;D Sondes;Sidi Behara;Zinnia;Mahres;Ennakhil;Abir;El Menzeh;Isis;Total( Kt)
1990;0,0;2411,5;0,0;;1306,7;0,0;33,3;;0,0;268,4;0,0;;0,0;;;;;93,7;;;79,8;0,0;;;;;;0,0;;;;;;;;;;;;;;;;;4193
1991;0,0;2220,8;0,0;;1242,5;0,0;22,1;;0,0;259,0;0,0;;0,0;;;;;35,6;;;52,5;1061,7;;;;;;0,0;;;;;;;;;;;;;;;;;4894
1992;0,0;2165,7;0,0;;1135,8;0,0;25,9;;0,0;273,1;0,0;;0,0;;;;;30,0;;;76,6;660,1;;;;;;0,0;;;;;;;;;;;;;;;;;4367
1993;0,0;1829,5;0,0;;1070,0;0,0;10,0;;0,0;253,2;0,0;;0,0;;;;;266,2;;;97,2;334,0;;;;;;0,0;;;;;;;;;;;;;;;;;3860
1994;0,0;1686,3;0,0;;996,7;0,0;12,2;;0,0;284,6;0,0;;97,6;;;;;529,7;;;80,5;226,7;;;;;;0,0;;;;;;;;;;;;;;;;;3914
1995;0,0;1533,2;0,0;;922,6;0,0;10,0;;0,0;219,6;0,0;;157,4;;;;;758,3;;;51,9;206,1;;;;;;0,0;;;;;;;;;;;;;;;;;3859
1996;0,0;1392,1;0,0;;961,8;8,4;10,3;;90,9;133,3;0,0;;114,3;;;;;858,1;;;60,4;225,8;;;;;;0,0;;;;;;;;;;;;;;;;;3855
1997;0,0;1228,9;0,0;;915,7;36,3;9,6;;182,3;68,2;0,0;;107,2;;;;;720,9;;;48,7;190,8;;;;;;0,0;;;;;;;;;;;;;;;;;3509
1998;0,0;1100,8;0,0;;887,6;129,1;44,4;;190,6;68,9;102,4;;120,3;;;;;704,5;;;46,8;143,4;;;;;;0,0;;;;;;;;;;;;;;;;;3539
1999;0,0;995,9;0,0;;842,4;245,7;49,2;;202,4;70,0;210,4;;115,7;;;;;662,9;;;46,6;118,8;;;;;;0,0;;;;;;;;;;;;;;;;;3560
2000;0,0;825,5;0,0;;739,4;241,4;42,5;;206,9;76,0;285,7;;119,8;;;;;595,7;;;42,7;107,5;;;;;;0,0;;;;;;;;;;;;;;;;;3283
2001;0,0;758,7;0,0;;681,1;329,3;42,6;;218,4;76,0;267,5;;110,9;;;;;360,5;;;41,2;79,4;;;;;;0,0;;;;;;;;;;;;;;;;;2966
2002;0,0;683,3;0,0;;669,2;298,5;92,6;;209,4;62,1;357,3;;96,6;;;;;165,9;;;37,8;64,9;;;;;;0,0;;;;;;;;;;;;;;;;;2738
2003;0,0;615,7;113,8;;644,0;239,1;94,9;;214,0;58,2;244,3;;101,3;;;;;123,3;;;25,0;54,9;;;;;;0,0;;;;;;;;;;;;;;;;;2529
2004;0,0;580,0;452,0;;577,0;221,0;103,0;;221,0;54,8;294,0;;106,0;;;;;120,0;;;25,0;64,0;;;;;;0,0;;;;;;;;;;;;;;;;;2818
2005;0,0;520,0;763,0;;530,0;211,0;142,0;;229,0;44,3;213,0;;107,2;;;;;91,0;;;50,5;69,4;;;;;;0,0;;;;;;;;;;;;;;;;;2970
2006;0,0;469,1;794,9;0,0;446,0;193,0;149,6;0,0;201,3;67,0;233,5;0,0;120,9;0,0;0,0;9,0;55,6;77,4;116,6;0,0;42,8;49,1;20,7;21,5;30,9;20,9;0,0;93,6;2,3;0,0;0,0;2,7;0,0;0,0;15,2;;;0,0;1,8;0,2;0,0;0,0;11,8;22,9;3270
2007;0,0;439,1;953,5;4,1;478,0;196,0;162,0;0,0;188,1;121,0;707,0;0,0;115,3;0,0;0,0;32,0;57,1;65,0;93,0;0,0;44,0;57,0;20,0;12,7;26,8;32,4;0,0;708,0;1,4;0,0;0,0;4,1;0,0;5,0;8,7;;;0,0;1,9;1,2;5,5;0,0;4,5;0,0;4544
2008;0,0;435,1;820,8;327,2;493,6;241,7;274,4;0,0;173,5;93,5;501,0;0,0;79,1;0,0;0,0;38,3;53,8;60,8;84,7;0,0;42,0;55,8;23,2;17,7;24,1;32,2;4,1;191,8;2,3;43,0;1,0;3,9;0,0;4,1;5,2;;;0,0;0,9;0,2;7,9;1,2;0,0;0,0;4138
2009;3,3;437,7;606,7;435,8;420,5;309,5;231,9;7,5;185,5;118,2;416,8;1,7;55,6;0,0;1,7;41,9;46,6;54,2;110,6;0,0;39,3;55,1;5,1;21,9;24,8;23,7;15,4;161,9;0,3;30,5;4,1;5,1;0,0;5,2;4,6;;;0,0;0,0;0,2;0,4;1,2;0,0;0,0;3885
2010;268,9;418,1;444,6;328,6;420,9;308,1;153,2;5,6;181,7;81,7;211,1;152,7;38,1;0,0;113,5;59,3;44,4;51,3;75,4;0,0;36,5;27,9;0,0;38,7;27,8;18,7;16,0;122,9;0,0;2,2;4,0;4,2;0,0;3,9;2,6;;;0,0;0,0;0,4;0,0;0,0;0,0;0,0;3663
2011;300,1;353,6;352,1;320,1;340,3;220,1;191,2;51,4;160,1;84,6;137,2;128,9;46,7;0,0;79,5;43,2;37,4;25,7;42,2;23,2;31,1;28,5;11,4;32,8;27,0;14,7;15,6;88,2;0,8;4,9;4,9;3,8;0,0;3,0;2,0;;;0,9;0,0;0,0;0,0;0,0;0,0;0,0;3207
2012;430,4;333,8;324,5;319,0;302,5;200,2;188,2;136,9;122,1;112,7;99,3;63,1;59,4;58,1;56,7;36,9;36,6;36,3;35,7;30,3;30,3;25,4;22,6;22,1;18,1;15,0;13,8;13,4;0,9;6,4;3,7;3,5;2,6;2,4;2,3;;;1,2;0,0;0,0;0,0;0,0;0,0;0,0;3166
2013;452,9;326,5;287,3;185,1;285,7;167,7;159,8;121,4;114,2;80,4;46,1;66,8;55,4;122,3;46,3;34,3;38,9;45,2;25,4;21,2;30,0;20,8;27,5;10,6;22,7;18,2;12,6;0,0;1,3;10,5;3,7;1,4;0,0;2,4;1,9;;;2,8;0,0;0,0;0,0;0,0;0,0;0,0;2849
2014;352,3;292,8;264,7;178,4;251,6;115,1;127,1;111,7;99,4;70,6;62,9;57,1;43,8;152,9;37,5;31,1;36,8;39,9;25,5;22,1;29,2;27,8;22,7;9,1;23,0;23,2;12,8;0,0;1,3;9,9;3,3;3,4;0,0;2,4;1,7;;;;0,0;0,0;0,0;0,0;0,0;0,0;2543
2015;289,7;286,0;212,2;147,6;235,2;94,6;106,4;80,5;98,0;56,8;41,6;83,2;54,0;58,7;45,4;28,0;46,6;35,9;134,7;1,1;27,7;21,8;20,1;12,0;20,4;42,5;12,9;0,0;1,2;8,0;0,4;3,3;0,0;1,7;1,3;;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2310
2016;271,7;262,2;194,3;120,2;292,7;97,6;117,0;51,9;89,5;62,8;31,0;66,3;61,7;62,6;36,6;19,0;34,6;35,3;110,8;0,0;16,6;22,0;20,2;11,3;19,2;47,8;3,9;0,0;1,1;4,7;0,1;0,3;0,0;0,1;1,6;0,0;0,0;1,5;0,0;0,0;0,0;0,0;0,0;0,0;2168
2017;245,2;237,5;131,9;92,3;232,0;64,8;113,2;40,2;84,2;75,2;24,8;27,3;93,6;57,2;59,2;0,7;36,0;31,6;52,1;17,5;6,4;12,9;12,2;10,5;16,0;27,7;7,6;;1,1;2,9;0,0;0,0;0,0;0,0;1,2;12,1;1,4;2,2;0,0;0,0;0,0;0,0;0,0;0,0;1831
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
